# sha256 10b505f91906ce3b69e5ea463b7dc1d910eed1a8bc2952290bc37ac707e94b2f
user_field_name,legacy_value,legacy_text,value,url,disposition
Mask,5306,Brevida Nasal Pillow CPAP Mask with Headgear,Brevida Nasal Pillow CPAP Mask,https://www.cpap.com/products/brevida-nasal-pillow-cpap-mask,resolves-to-product
Mask,5307,Brevida Nasal Pillow CPAP Mask with Headgear - Fit Pack,Brevida Nasal Pillow CPAP Mask,https://www.cpap.com/products/brevida-nasal-pillow-cpap-mask,resolves-to-product
Mask,5348,DreamWear Gel Nasal Pillow CPAP Mask with Headgear - Fit Pack (All Nasal Pillows with Medium Frame),DreamWear Gel Nasal Pillow CPAP Mask with Headgear - Fit Pack (All Nasal Pillows with Medium Frame) (Discontinued),https://www.cpap.com/collections/nasal-pillows-cpap-masks,collection
Mask,5353,AirTouch F20 Full Face CPAP Mask with Headgear,AirTouch F20 Full Face CPAP Mask,https://www.cpap.com/products/resmed-airtouch-f20-full-face-cpap-mask,resolves-to-product
Mask,5354,AirTouch F20 For Her Full Face CPAP Mask with Headgear,AirTouch F20 Full Face CPAP Mask,https://www.cpap.com/products/resmed-airtouch-f20-full-face-cpap-mask,resolves-to-product
Mask,5406,DreamWear Full Face CPAP Mask with Headgear (Small and Medium Frame Included),DreamWear Full Face CPAP Mask,https://www.cpap.com/products/dreamwear-full-face-cpap-mask-with-headgear,resolves-to-product
Mask,5410,Numa Full Face CPAP Mask with Headgear,Numa Full Face CPAP Mask (Discontinued),https://www.cpap.com/collections/full-face-cpap-masks,collection
Mask,5412,Rio II Nasal Pillow CPAP Mask with Headgear,Rio II Nasal Pillow CPAP Mask with Headgear (Discontinued),https://www.cpap.com/collections/nasal-pillows-cpap-masks,collection
Mask,5413,Viva Nasal CPAP Mask with Headgear - All Size Kit,Viva Nasal CPAP Mask (Discontinued),https://www.cpap.com/collections/nasal-cpap-masks,collection
Mask,5479,"DreamWear Full Face CPAP Mask with Headgear - Fit Pack (S, M, MW, L Cushions with Medium Frame)",DreamWear Full Face CPAP Mask,https://www.cpap.com/products/dreamwear-full-face-cpap-mask-with-headgear,resolves-to-product
